rank,mark,athlete,country,date_of_birth,race_position,venue,result_date
3201,4:04.29,Hassiba Boulmerka,ALG,10.07.68,3,Stuttgart,22.08.1993
3201,4:04.29,Naomi Mugo,KEN,02.01.77,2,Lausanne,03.07.1996
3201,4:04.29,Olga Yegorova,RUS,28.03.72,1,Rieti,05.09.2004
3201,4:04.29,Hannah England,GBR,06.03.87,9,Monaco,28.07.2009
3201,4:04.29,Natalya Pantelyeva,RUS,18.08.83,10,Monaco,28.07.2009
3201,4:04.29,Gudaf Tsegay,ETH,23.06.97,9,Zürich,01.09.2016
3201,4:04.29,Linden Hall,AUS,20.06.91,13,London,20.07.2019
3201,4:04.29,Katharina Trost,GER,28.06.95,3,Montreuil,02.06.2022
3201,4:04.29,Joceline Wind,SUI,12.09.00,8h3,Tokyo,13.09.2025
3215,4:04.3,Christiane Wartenberg,GDR,27.10.56,3,Potsdam,14.07.1976
3215,4:04.3,Grete Waitz,NOR,01.10.53,1,Oslo,06.06.1978
3215,4:04.3,Giana Romanova,RUS,10.03.55,3,Dortmund,01.07.1978
3215,4:04.3A,Totka Petrova,BUL,17.12.56,1,Ciudad de México,09.09.1978
3215,4:04.3,Lyubov Smolka,UKR,29.11.52,3,Donetsk,07.09.1980
3215,4:04.3,Lyudmila Rogachova,RUS,30.10.66,3,Kyiv,24.06.1988
3215,4:04.30,Regina Jacobs,USA,28.08.63,1,Glasgow,04.09.1999
3215,4:04.30,Geraldine Hendricken,IRL,19.04.70,6,Berlin,06.09.2002
3215,4:04.30,Corinna Harrer,GER,19.01.91,5,Roma,31.05.2012
3215,4:04.30,Ibtissam Lakhouad,MAR,07.12.80,6,Roma,31.05.2012
3215,4:04.30,Siham Hilali,MAR,02.05.86,5,Roma,06.06.2013
3215,4:04.30,Anna Shchagina,RUS,07.12.91,11,Roma,04.06.2015
3215,4:04.30,Eilish McColgan,GBR,25.11.90,6,Gold Coast,10.04.2018
3228,4:04.31,Christiane Wartenberg,GDR,27.10.56,4,Torino,05.08.1979
3228,4:04.31,Gabriella Dorio,ITA,27.06.57,3,Zürich,18.08.1982
3228,4:04.31,Svetlana Miroshnik,UKR,03.06.68,1,Kyiv,12.06.1995
3228,4:04.31,Olga Kuznetsova,RUS,23.10.67,5,Roma,30.06.2000
3228,4:04.31,Natalya Gorelova,RUS,18.04.73,12,Monaco,13.09.2003
3228,4:04.31,Elena Antoci,ROU,16.01.75,3,Bucuresti,06.06.2008
3234,4:04.32,Angelika Zauber,GDR,05.11.58,3,Celje,18.08.1981
3234,4:04.32,Elly van Hulst,NED,09.06.59,2,Stockholm,01.07.1986
3234,4:04.32,Sarah Jamieson,AUS,24.03.75,4,Stuttgart,09.09.2006
3234,4:04.32,Irene Jelagat,KEN,10.12.88,3,Daegu,12.05.2011
3234,4:04.32,Ciara Mageean,IRL,12.03.92,12,Firenze,10.06.2021
3234,4:04.32,Edinah Jebitok,KEN,10.11.01,9,Eugene,21.08.2021
3240,4:04.33,Tamara Koba,UKR,24.02.57,4,Moskva,22.06.1983
3240,4:04.33,Anzhela Romanova,MDA,06.05.61,5,Sochi,10.06.1984
3240,4:04.33,Yelena Zadorozhnaya,RUS,03.12.77,2,Réthymno,23.06.2004
3240,4:04.33,Hannah England,GBR,06.03.87,3,Gateshead,10.07.2010
3240,4:04.33,Treniere Moser,USA,27.10.81,6,New York City,14.06.2014
3240,4:04.33,Ingvill Måkestad Bovim,NOR,07.08.81,7,Glasgow,11.07.2014
3240,4:04.33,Linden Hall,AUS,20.06.91,1,Melbourne,26.01.2021
3240,4:04.33,Cory Ann McGee,USA,29.05.92,10,Bruxelles,02.09.2022
3240,4:04.33,Esther Guerrero,ESP,07.02.90,6h2,Budapest,19.08.2023
3240,4:04.33,Sarah Calvert,GBR,29.06.01,4r1,Oordegem,09.08.2025
3250,4:04.34,Maite Zúñiga,ESP,28.12.64,6,Monaco,16.08.1997
3250,4:04.34,Nuria Fernández,ESP,16.08.76,3,Saint-Denis,23.07.2004
3250,4:04.34,Amanda Eccleston,USA,18.06.90,3,Heusden-Zolder,22.07.2017
3253,4:04.35,Tatyana Kazankina,RUS,17.12.51,1,Helsinki,14.08.1977
3253,4:04.35,Olga Dvirna,RUS,11.02.53,h,Kyiv,22.06.1984
3253,4:04.35,Katalin Szalai,HUN,04.03.61,2,Köln,26.08.1984
3253,4:04.35,Liu Li,CHN,12.03.71,4s1,Barcelona,06.08.1992
3253,4:04.35,Yvonne Graham,JAM,22.08.65,1,Bruxelles,19.08.1994
3253,4:04.35,Olga Nelyubova,RUS,12.06.64,6,Roma,30.06.2000
3253,4:04.35,Wioletta Frankiewicz,POL,09.06.77,5,Kazan,09.07.2004
3253,4:04.35,Carmen Douma-Hussar,CAN,12.03.77,5,Saint-Denis,01.07.2005
3253,4:04.35,Rababe Arafi,MAR,12.01.91,8,London,07.08.2017
3253,4:04.35,Karissa Schweizer,USA,04.05.96,1r1,Los Angeles,22.07.2023
3253,4:04.35,Águeda Marqués,ESP,19.03.99,10,Rabat,25.05.2025
3253,4:04.35,Maureen Koster,NED,07.03.92,6rA,Tomblaine,04.07.2025
3265,4:04.36,Lyubov Smolka,UKR,29.11.52,1h2,Moskva,30.07.1980
3265,4:04.36,Lyudmila Baranova,RUS,03.05.50,1,Odessa,08.09.1983
3265,4:04.36,Nadezhda Ralldugina,RUS,15.11.57,1,Donetsk,09.09.1984
3265,4:04.36,Doina Melinte,ROU,27.12.56,2,Bucuresti,11.06.1988
3265,4:04.36,Sonia O'Sullivan,IRL,28.11.69,1,Nice,21.07.1993
3265,4:04.36,Liu Dong,CHN,24.12.73,1s3,Stuttgart,20.08.1993
3265,4:04.36,Margarita Marusova,RUS,25.11.67,3,Paris,28.06.1996
3265,4:04.36,Suzy Favor Hamilton,USA,08.08.68,2,Indianapolis,15.06.1997
3265,4:04.36,Naomi Mugo,KEN,02.01.77,11,Oslo,28.07.2000
3265,4:04.36,Alesya Turova,BLR,06.12.79,4,Oslo,28.06.2002
3265,4:04.36,Suzy Favor Hamilton,USA,08.08.68,2,Carson,01.06.2003
3265,4:04.36,Hind Dehiba,FRA,17.03.79,5,Eugene,28.05.2006
3265,4:04.36,Mimi Belete,ETH,09.06.88,6,Athínai,13.07.2009
3265,4:04.36,Gelete Burka,ETH,23.01.86,9,Monaco,19.07.2013
3265,4:04.36,Laura Weightman,GBR,07.01.91,9,Bruxelles,31.08.2018
3265,4:04.36,Helen Schlachtenhaufen,USA,14.03.95,2,Eugene,24.04.2021
3265,4:04.36,Sarah Healy,IRL,13.02.01,4,Montreuil,31.05.2023
3265,4:04.36,Nozomi Tanaka,JPN,04.09.99,6h1,Budapest,19.08.2023
3283,4:04.37,Lyudmila Rogachova,RUS,30.10.66,1,Moskva,04.08.1991
3283,4:04.37,Suzy Favor Hamilton,USA,08.08.68,11,Zürich,12.08.1998
3283,4:04.37,Natalya Gorelova,RUS,18.04.73,2,Thessaloníki,24.07.2002
3283,4:04.37,Anna Mishchenko,UKR,25.08.83,1,Warszawa,08.06.2010
3283,4:04.37,Meraf Bahta,SWE,24.06.89,2,Stockholm,16.06.2016
3283,4:04.37,Gudaf Tsegay,ETH,23.06.97,3,Stockholm,16.06.2016
3283,4:04.37,Linden Hall,AUS,20.06.91,2r1,Portland,11.06.2017
3283,4:04.37,Marissa Damink,NED,24.10.95,5,Zagreb,08.09.2024
3283,4:04.37,Ludovica Cavalli,ITA,20.12.00,14,Budapest,12.08.2025
3292,4:04.38,Anna Bukis,POL,08.09.53,3,Zagreb,16.08.1981
3292,4:04.38,Totka Petrova,BUL,17.12.56,1,Lage,14.06.1983
3292,4:04.38,Zamira Zaytseva,UZB,16.02.53,2,Odessa,08.09.1983
3292,4:04.38,Doina Melinte,ROU,27.12.56,1,Zürich,13.08.1986
3292,4:04.38,Mitica Constantin,ROU,18.08.62,2,Nice,10.07.1988
3292,4:04.38,Yuliya Kosenkova,RUS,28.03.73,3,Madrid,19.07.2003
3292,4:04.38,Wioletta Frankiewicz,POL,09.06.77,1,Madrid,17.07.2004
3292,4:04.38,Emily MacKay,USA,30.04.98,3,Eugene,02.08.2025
3300,4:04.39,Cornelia Bürki,SUI,03.10.53,2,Basel,26.05.1980
3300,4:04.39,Zola Pieterse,GBR,26.05.66,1,Cwmbran,28.05.1984
3300,4:04.39,Galina Zakharova,RUS,07.09.56,2,Donetsk,09.09.1984
3300,4:04.39,Angela Chalmers,CAN,06.09.63,1,Berlin,30.08.1994
3300,4:04.39,Leah Pells,CAN,09.11.64,1,Rieti,01.09.1996
3300,4:04.39A,Freweyni Hailu,ETH,12.02.01,3,Nairobi,18.09.2021
3306,4:04.4,Zoya Rigel,RUS,15.10.52,4,Dortmund,01.07.1978
3306,4:04.4,Yelena Sipatova,RUS,07.06.55,9,Moskva,12.06.1980
3306,4:04.4,Tatyana Pozdnyakova,UKR,04.03.56,1,Orel,10.07.1982
3306,4:04.4,Yvonne Graham,GER,22.08.65,3,Berlin,12.08.1987
3306,4:04.4,Tatyana Dorovskikh,UKR,12.08.61,1,Moskva,15.08.1987
3306,4:04.4A,Judith Jemutai,KEN,10.12.93,2,Nairobi,10.06.2017
3306,4:04.40,Ravilya Agletdinova,BLR,10.02.60,1,Moskva,06.07.1981
3306,4:04.40,Anna Jakubczak,POL,02.02.73,7,Sevilla,29.08.1999
3306,4:04.40,Tara Clack,USA,07.03.80,6,Eugene,28.05.2006
3306,4:04.40,Emma Coburn,USA,19.10.90,4,Memphis,10.08.2019
3306,4:04.40,Melissa Courtney-Bryant,GBR,30.08.93,10,Rabat,05.06.2022
3306,4:04.40,Kristiina Sasinek Mäki,CZE,22.09.91,7h2,München,16.08.2022
3306,4:04.40,Kristiina Sasinek Mäki,CZE,22.09.91,5,Zagreb,10.09.2023
3306,4:04.40,Kimberley May,NZL,08.05.03,1,Lignano Sabbiadoro,13.07.2025
3306,4:04.40,Eleanor Fulton,USA,17.05.93,2rA,Trier,02.09.2025
3306,4:04.40,Jessica Hull,AUS,22.10.96,1h1,Tokyo,13.09.2025
3306,4:04.40,Gabriela DeBues-Stafford,CAN,13.09.95,1,Turku,03.06.2026
3323,4:04.41,Christiane Wartenberg,GDR,27.10.56,1,Karl-Marx-Stadt,18.06.1983
3323,4:04.41,Roswitha Gerdes,FRG,28.06.61,4,Los Angeles,11.08.1984
3323,4:04.41,Anna Brzezinska,POL,09.01.71,2,Rieti,28.08.1994
3323,4:04.41,Yuliya Kosenkova,RUS,28.03.73,1,Moskva,26.07.2003
3323,4:04.41,Tatyana Tomashova,RUS,01.07.75,1,Berlin,12.09.2004
3323,4:04.41,Nancy Chepkwemoi,KEN,08.10.93,1,Székesfehérvár,07.07.2015
3323,4:04.41,Sarah McDonald,GBR,02.08.93,2,Ostrava,13.06.2018
3323,4:04.41,Helen Schlachtenhaufen,USA,14.03.95,5,Eugene,21.06.2021
3323,4:04.41,Aurore Fleury,FRA,04.12.93,5r1,Oordegem,09.08.2025
3332,4:04.42,Astrid Pfeiffer,GDR,06.12.64,3,Los Angeles,25.06.1983
3332,4:04.42,Doina Melinte,ROU,27.12.56,6,Helsinki,14.08.1983
3332,4:04.42,Doina Melinte,ROU,27.12.56,7s2,Barcelona,06.08.1992
3332,4:04.42,Qu Yunxia,CHN,25.12.72,1,Shanghai,13.05.1993
3332,4:04.42,Süreyya Ayhan-Kop,TUR,06.09.78,1h2,München,09.08.2002
3332,4:04.42,Hasna Benhassi,MAR,01.06.78,4,Saint-Denis,23.07.2004
3332,4:04.42,Helen Obiri,KEN,13.12.89,4,Oslo,07.06.2012
3332,4:04.42,Abeba Aregawi,SWE,05.07.90,6,Ad-Dawhah,15.05.2015
3332,4:04.42,Sarah McDonald,GBR,02.08.93,6h1,Ad-Dawhah,02.10.2019
3332,4:04.42,Melissa Bishop-Nriagu,CAN,05.08.88,5r1,Irvine,15.05.2021
3332,4:04.42+,Marta Pérez,ESP,19.04.93,4,Bruxelles,03.09.2021
3332,4:04.42,Salomé Afonso,POR,19.11.97,5h3,Saint-Denis,06.08.2024
3344,4:04.43,Liliya Nurutdinova,RUS,15.12.63,3,Kyiv,26.08.1981
3344,4:04.43,Sarah Schwald,USA,02.01.73,7,Bruxelles,24.08.2001
3344,4:04.43,Judit Varga,HUN,16.04.76,8,Bruxelles,30.08.2002
3344,4:04.43,Helen Obiri,KEN,13.12.89,1h1,Glasgow,28.07.2014
3344,4:04.43,Alemaz Samuel,ETH,05.07.99,11,Roma,06.06.2019
3344,4:04.43,Elise Vanderelst,BEL,27.01.98,11,Bruxelles,02.09.2022
3344,4:04.43,Gabrielle Jennings,USA,15.09.98,4r1,Eagle Rock,24.05.2025
3351,4:04.44,Nadezhda Ralldugina,RUS,15.11.57,5,Moskva,12.06.1982
3351,4:04.44,Yelena Vyazova,UKR,18.04.60,h,Kyiv,22.06.1984
3351,4:04.44,Tatyana Dorovskikh,UKR,12.08.61,6,Kyiv,02.08.1988
3351,4:04.44,Ellen Kießling,GER,17.02.68,2,Berlin,05.07.1989
3351,4:04.44,Nelya Neporadnaya,UKR,29.07.85,11,Saint-Denis,31.08.2003
3351,4:04.44,Jolanda Ceplak,SLO,12.09.76,2,Moskva,30.05.2004
3351,4:04.44,Bouchra Ghézielle,MAR,19.05.79,5,Saint-Denis,23.07.2004
3351,4:04.44,Iris María Fuentes-Pila,ESP,10.08.80,5,Athínai,13.07.2008
3351,4:04.44,Natalya Yevdokimova,RUS,17.03.78,2,Warszawa,07.06.2009
3351,4:04.44,Irene Jelagat,KEN,10.12.88,4,Shanghai,20.09.2009
3351,4:04.44,Emma Coburn,USA,19.10.90,3,Portland,11.06.2022
3351,4:04.44,Christina Aragon,USA,17.06.97,4,Lignano Sabbiadoro,14.07.2024
3363,4:04.45,Maricica Puica,ROU,29.07.50,1,Bucuresti,18.08.1994
3363,4:04.45,Olga Yegorova,RUS,28.03.72,3,Tula,09.06.2001
3363,4:04.45,Ibtissam Lakhouad,MAR,07.12.80,5,Oslo,07.06.2012
3363,4:04.45,Natalya Yevdokimova,RUS,17.03.78,1h1,Cheboksary,05.07.2012
3363,4:04.45,Hanna Klein,GER,06.04.93,5s1,London,05.08.2017
3363,4:04.45,Esther Guerrero,ESP,07.02.90,2,Berlin,12.09.2021
3363,4:04.45,Laura Muir,GBR,09.05.93,11,Eugene,28.05.2022
3363,4:04.45,Kristiina Sasinek Mäki,CZE,22.09.91,3,Marseille,15.06.2022
3363,4:04.45,Claudia Hollingsworth,AUS,12.04.05,1,Adelaide,10.02.2024
3363,4:04.45,Sofia Ennaoui,POL,30.08.95,10,Ostrava,28.05.2024
3363,4:04.45,Danielle Jones,USA,21.08.96,6s2,Eugene,28.06.2024
3374,4:04.46,Tatyana Dorovskikh,UKR,12.08.61,1,Oslo,02.07.1988
3374,4:04.46,Doina Melinte,ROU,27.12.56,1,London,20.07.1990
3374,4:04.46,Olga Komyagina,RUS,10.02.74,6,Tula,26.07.2000
3374,4:04.46,Joanne Pavey,GBR,20.09.73,1,Rieti,07.09.2003
3374,4:04.46,Sylwia Ejdys,POL,15.07.84,4,Monaco,29.07.2008
3374,4:04.46,Heather Kampf,USA,19.01.87,3,Greenville,04.06.2016
3374,4:04.46,Shannon Rowbury,USA,19.09.84,3s1,Rio de Janeiro,14.08.2016
3374,4:04.46,Winfredah Nzisa,KEN,30.05.97,4,Heusden-Zolder,22.07.2017
3374,4:04.46,Marusa Mismas-Zrimsek,SLO,24.11.94,12rA,Ostrava,31.05.2022
3374,4:04.46,Lucia Stafford,CAN,17.08.98,6,Rovereto,02.06.2025
3384,4:04.47,Irina Lebedinskaya,RUS,16.06.61,h,Kyiv,26.07.1982
3384,4:04.47,Natalya Yevdokimova,RUS,17.03.78,2,Sochi,29.05.2009
3384,4:04.47,Linden Hall,AUS,20.06.91,1rA,Palo Alto,01.05.2016
3384,4:04.47,Natalia Hawthorn,CAN,12.01.95,3rA,Portland,29.05.2021
3388,4:04.48,Christina Cahill,GBR,25.03.57,4,Zürich,18.08.1982
3388,4:04.48,Sue Addison,USA,28.07.56,3,Zürich,19.08.1987
3388,4:04.48,Meskerem Assefa,ETH,20.09.85,7,Monaco,22.07.2011
3388,4:04.48,Renata Plis,POL,05.02.85,7,Roma,31.05.2012
3388,4:04.48,Tatyana Tomashova,RUS,01.07.75,1,Cheboksary,05.08.2015
3388,4:04.48,Linden Hall,AUS,20.06.91,3rA,Madrid,22.06.2018
3388,4:04.48,Lucia Stafford,CAN,17.08.98,2,Nice,31.05.2025
3395,4:04.49,Margareta Keszeg,ROU,31.08.65,3,Pitesti,28.06.1986
3395,4:04.49,Yekaterina Podkopayeva,RUS,11.06.52,5,Nice,10.07.1996
3395,4:04.49,Liu Haiyan,CHN,08.07.74,8h2,Shanghai,17.10.1997
3395,4:04.49,Kelly Holmes,GBR,19.04.70,2,Berlin,12.09.2004
3395,4:04.49,Eunice Sum,KEN,10.04.88,1,Beijing,21.05.2013
3395,4:04.49,Malika Akkaoui,MAR,25.12.87,3,Beijing,20.05.2015
3395,4:04.49,Ciara Mageean,IRL,12.03.92,10,Roma,08.06.2017
3395,4:04.49,Aleksandra Gulyayeva,RUS,30.04.94,1,Zhukovskiy,02.07.2017
3395,4:04.49,Agathe Guillemot,FRA,11.07.99,2,Talence,02.08.2025
3404,4:04.5,Natalia Marasescu,ROU,03.10.52,1,Bucuresti,04.06.1978
3404,4:04.5,Zamira Zaytseva,UZB,16.02.53,4,Vilnius,22.07.1978
3404,4:04.5,Zamira Zaytseva,UZB,16.02.53,3h3,Moskva,04.07.1980
3404,4:04.5,Mary Slaney,USA,04.08.58,1,Berkeley,12.06.1983
3404,4:04.5,Katrin Wühn,GDR,19.11.65,2,Potsdam,14.06.1987
3404,4:04.5+,Mary Slaney,USA,04.08.58,1,Eugene,02.07.1988
3404,4:04.5,Olga Komyagina,RUS,10.02.74,6,Athínai,02.07.2007
3404,4:04.50,Heather Kampf,USA,19.01.87,12,Roma,04.06.2015
3404,4:04.50,Danielle Aragon,USA,01.07.94,2rA,Nashville,05.06.2022
3404,4:04.50,Yolanda Ngarambe,SWE,14.09.91,3,Hengelo,07.07.2024
3404,4:04.50,Melissa Courtney-Bryant,GBR,30.08.93,1r1,Belast,09.05.2026
3404,4:04.50+,Laura Muir,GBR,09.05.93,10,Eugene,04.07.2026
3416,4:04.51,Gabriella Dorio,ITA,27.06.57,1s2,Los Angeles,09.08.1984
3416,4:04.51,Margarita Marusova,RUS,25.11.67,2,Moskva,18.06.1995
3416,4:04.51,Sinéad Delahunty,IRL,12.02.71,6,Oslo,05.07.1996
3416,4:04.51,Malindi Elmore,CAN,13.03.80,1,Victoria,11.07.2004
3416,4:04.51,Sinclaire Johnson,USA,13.04.98,3s2,Eugene,16.07.2022
3416,4:04.51,Maudie Skyring,AUS,09.04.97,3r1,Pfungstadt,20.08.2025
3422,4:04.52,Ulrike Bruns,GDR,17.11.53,2,Helsinki,14.08.1977
3422,4:04.52,Anna Willard,USA,31.03.84,9,Stockholm,06.08.2010
3422,4:04.52,Cory McGee,USA,29.05.92,2,Eugene,25.06.2022
3425,4:04.53,Vanya Stoyanova,BUL,12.12.58,2,Budapest,11.08.1980
3425,4:04.53,Suzy Favor Hamilton,USA,08.08.68,3,New Orleans,28.06.1992
3425,4:04.53,Yuliya Kosenkova,RUS,28.03.73,3,Sankt Peterburg,18.06.2000
3425,4:04.53,Sarah Schwald,USA,02.01.73,12,Monaco,19.07.2002
3425,4:04.53,Nancy Jebet Langat,KEN,22.08.81,2,Birmingham,30.06.2013
3425,4:04.53,Katie Mackey,USA,12.11.87,3,Heusden-Zolder,18.07.2015
3425,4:04.53,Marta Pen,POR,31.07.93,2rA,Barcelona,11.07.2018
3425,4:04.53,Alexa Efraimson,USA,20.02.97,9,Shanghai,18.05.2019
3425,4:04.53,Axumawit Embaye,ETH,18.10.94,2,Roma,09.06.2022
3425,4:04.53,Faith Kipyegon,KEN,10.01.94,1h2,Eugene,15.07.2022
3425,4:04.53,Marina Martínez,ESP,13.01.02,1r1,Ordizia,05.07.2025
3436,4:04.54,Yevgeniya Sitnikova,RUS,58,7,Leningrad,26.07.1981
3436,4:04.54,Svetlana Masterkova,RUS,17.01.68,1,Köln,16.08.1996
3436,4:04.54,Naomi Mugo,KEN,02.01.77,6s1,Saint-Denis,29.08.2003
3436,4:04.54,Yelena Korobkina,RUS,25.11.90,1,Cheboksary,26.06.2021
3440,4:04.55,Olga Parlyuk,RUS,03.05.63,6,Moskva,20.07.1984
3440,4:04.55,Yvonne Murray,GBR,04.10.64,2,Gateshead,13.06.1987
3440,4:04.55,Elena Fidatov,ROU,24.07.60,5s1,Barcelona,06.08.1992
3440,4:04.55,Maria Martins,FRA,01.04.74,5,Saint-Denis,04.07.2003
3440,4:04.55,Kelly Holmes,GBR,19.04.70,1,Monaco,18.09.2004
3440,4:04.55,Abeba Aregawi,ETH,05.07.90,1h1,London,06.08.2012
3440,4:04.55,Senbere Teferi,ETH,03.05.95,10,Monaco,19.07.2013
3440,4:04.55,Treniere Moser,USA,27.10.81,10,Monaco,17.07.2015
3440,4:04.55,Gabriela DeBues-Stafford,CAN,13.09.95,7h3,London,04.08.2017
3440,4:04.55,Kristiina Sasinek Mäki,CZE,22.09.91,6h1,Tokyo,02.08.2021
3440,4:04.55,Gaia Sabbatini,ITA,10.06.99,10,Eugene,21.08.2021
3440,4:04.55,Eliza Megger,POL,29.08.99,4,Marseille,15.06.2022
3452,4:04.56,Violeta Szekely,ROU,26.03.65,4,Pitesti,28.06.1986
3452,4:04.56,Lyudmila Borisova,RUS,30.07.59,4,Kyiv,07.07.1990
3452,4:04.56,Hassiba Boulmerka,ALG,10.07.68,3,Nice,05.07.1992
3452,4:04.56,Kelly Holmes,GBR,19.04.70,1,Roma,05.06.1996
3452,4:04.56,Olga Yegorova,RUS,28.03.72,5rA,Tula,10.08.2003
3452,4:04.56,Corina Dumbravean,ROU,15.04.84,1,Novi Sad,24.07.2005
3452,4:04.56,Christin Wurth-Thomas,USA,11.07.80,10,Stockholm,06.08.2010
3452,4:04.56,Jennifer Simpson,USA,23.08.86,6,Shanghai,14.05.2016
3452,4:04.56,Sara Vaughn,USA,16.05.86,8h3,London,04.08.2017
3452,4:04.56+,Elise Cranny,USA,09.05.96,5,Bruxelles,03.09.2021
3452,4:04.56A,Nelly Chepchirchir,KEN,04.06.03,2,Nairobi,13.05.2023
3463,4:04.57,Ulrike Bruns,GDR,17.11.53,1,Potsdam,28.06.1985
3463,4:04.57,Yekaterina Podkopayeva,RUS,11.06.52,7,Kyiv,02.08.1988
3463,4:04.57,Suzy Favor Hamilton,USA,08.08.68,2,Gateshead,20.07.1994
3463,4:04.57,Violeta Szekely,ROU,26.03.65,3,Bratislava,09.06.1998
3463,4:04.57,Hind Dehiba,FRA,17.03.79,9,Bruxelles,03.09.2004
3463,4:04.57,Sarah Jamieson,AUS,24.03.75,1,New York City,03.06.2006
3463,4:04.57,Renata Plis,POL,05.02.85,1,Sopot,05.08.2011
3463,4:04.57,Jennifer Simpson,USA,23.08.86,10,Bruxelles,31.08.2018
3463,4:04.57A,Edinah Jebitok,KEN,10.11.01,3,Nairobii,08.07.2023
3463,4:04.57,Nelly Jepkosgei,BRN,14.07.91,13,Rabat,31.05.2026
3473,4:04.58,Kelly Holmes,GBR,19.04.70,6,Monaco,04.08.1999
3473,4:04.58,Yuliya Chizhenko,RUS,30.08.79,3,San Sebastián,03.07.2004
3473,4:04.58,Natalia Rodríguez,ESP,02.06.79,6,Saint-Denis,23.07.2004
3473,4:04.58,Siham Hilali,MAR,02.05.86,3,Lausanne,04.07.2013
3473,4:04.58,Marta Pérez,ESP,19.04.93,8,Ostrava,27.06.2023
3473,4:04.58,Águeda Marqués,ESP,19.03.99,3,Madrid,21.06.2024
3479,4:04.59,Tatyana Kazankina,RUS,17.12.51,3,Donetsk,09.09.1984
3479,4:04.59,Yekaterina Podkopayeva,RUS,11.06.52,4,Paris,28.06.1996
3479,4:04.59,Ana Amelia Menéndez,ESP,17.03.72,7,Zürich,11.08.1999
3479,4:04.59,Irene Jelagat,KEN,10.12.88,5,Saint-Denis,18.07.2008
3479,4:04.59,Yuliya Zaripova,RUS,26.04.86,3,Warszawa,07.06.2009
3479,4:04.59,Morgan Uceny,USA,10.03.85,1,Eugene,01.07.2012
3479,4:04.59,Maureen Koster,NED,07.03.92,4,Beijing,20.05.2015
3479,4:04.59,Axumawit Embaye,ETH,18.10.94,3,Berlin,12.09.2021
3479,4:04.59,Maureen Koster,NED,07.03.92,4,Hengelo,07.07.2024
3479,4:04.59,Sinclaire Johnson,USA,13.04.98,2h1,Tokyo,13.09.2025
3479,4:04.59,Riley Chamberlain,USA,21.07.04,1r1,Westwood,23.05.2026
3479,4:04.59,Claire Stegall,USA,05.06.07,1,Eugene,19.06.2026
3491,4:04.6,Karin Krebs,GDR,18.08.43,1,Potsdam,01.09.1973
3491,4:04.6,Lyubov Smolka,UKR,29.11.52,8,Moskva,29.07.1979
3491,4:04.6,Nina Yapeyeva,RUS,03.01.56,1,Leningrad,14.08.1980
3491,4:04.60,Cornelia Bürki,SUI,03.10.53,8,Praha,03.09.1978
3491,4:04.60,Tatyana Dorovskikh,UKR,12.08.61,12,Kyiv,24.06.1984
3491,4:04.60,Yelena Romanova,RUS,20.03.63,2,Bucuresti,14.06.1986
3491,4:04.60,Lyubov Kremlyova,RUS,21.12.61,5,Kyiv,07.07.1990
3491,4:04.60,Anna Brzezinska,POL,09.01.71,2,Rieti,01.09.1996
3491,4:04.60,Sarah Jamieson,AUS,24.03.75,4,Oslo,15.06.2007
3491,4:04.60,Katie Mackey,USA,12.11.87,1rA,Eagle Rock,17.05.2013
3491,4:04.60,Rachel Schneider,USA,18.07.91,4rA,Portland,29.05.2021
3491,4:04.60,Konstanze Klosterhalfen,GER,18.02.97,4,Montreuil,02.06.2022
3503,4:04.61,Raisa Smekhnova,BLR,16.09.50,2,College Park,06.08.1976
3503,4:04.61,Lidia Chojecka,POL,25.01.77,5,Berlin,31.08.2001
3503,4:04.61,Natalya Yevdokimova,RUS,17.03.78,2,Rieti,07.09.2003
3503,4:04.61,Maria Martins,FRA,01.04.74,7,Saint-Denis,23.07.2004
3503,4:04.61,Yelena Zadorozhnaya,RUS,03.12.77,3,Berlin,12.09.2004
3503,4:04.61,Mestawet Tadesse,ETH,19.07.85,7,Eugene,28.05.2006
3503,4:04.61,Shannon Rowbury,USA,19.09.84,9,Eugene,27.05.2017
3503,4:04.61,Taryn Rawlings,USA,17.04.96,6r1,Oordegem,09.08.2025
3503,4:04.61,Águeda Marqués,ESP,19.03.99,5,Ad-Dawhah,19.06.2026
3512,4:04.62,Sonia O'Sullivan,IRL,28.11.69,6,Bruxelles,25.08.2000
3512,4:04.62,Iryna Lishchynska,UKR,15.01.76,4,Lausanne,02.07.2002
3512,4:04.62,Carla Sacramento,POR,10.12.71,12,Roma,12.07.2002
3512,4:04.62,Iryna Lishchynska,UKR,15.01.76,1,Oslo,27.06.2003
3512,4:04.62,Mary Cain,USA,03.05.96,2rA,Eagle Rock,17.05.2013
3512,4:04.62,Axumawit Embaye,ETH,18.10.94,4,Heusden-Zolder,19.07.2014
3512,4:04.62,Jenny Blundell,AUS,09.05.94,4,Beijing,18.05.2016
3512,4:04.62A,Winny Chebet,KEN,20.12.90,2,Nairobi,17.06.2021
3512,4:04.62,Hanna Klein,GER,06.04.93,8s1,Eugene,16.07.2022
3521,4:04.63,Margarita Marusova,RUS,25.11.67,7,Sankt Peterburg,04.07.1996
3521,4:04.63,Regina Jacobs,USA,28.08.63,2,Athínai,05.08.1997
3521,4:04.63,Gelete Burka,ETH,23.01.86,1,Eugene,04.06.2011
